time,Month,Year,ElantraSales,Unemployment,Queries,CPI_energy,CPI_all
1,1,2010,7690,9.7,153,213.377,217.466
2,2,2010,7966,9.8,130,209.924,217.251
3,3,2010,8225,9.9,138,209.163,217.305
4,4,2010,9657,9.9,132,209.024,217.376
5,5,2010,9781,9.6,177,206.172,217.299
6,6,2010,14245,9.4,138,204.161,217.285
7,7,2010,18215,9.5,156,206.834,217.677
8,8,2010,15181,9.5,202,208.927,218.012
9,9,2010,10062,9.5,150,209.85,218.281
10,10,2010,9497,9.5,178,216.655,219.024
11,11,2010,8631,9.8,161,219.303,219.544
12,12,2010,13096,9.4,170,227.19,220.437
13,1,2011,9659,9.1,259,229.353,221.082
14,2,2011,12289,9,266,232.188,221.816
15,3,2011,19255,9,281,239.454,222.955
16,4,2011,22100,9.1,305,247.129,224.056
17,5,2011,20006,9,376,250.538,224.918
18,6,2011,19992,9.1,371,246.401,224.99
19,7,2011,15181,9,427,246.968,225.553
20,8,2011,15054,9,336,247.112,226.149
21,9,2011,14386,9,357,249.732,226.674
22,10,2011,13000,8.8,370,246.971,226.761
23,11,2011,12414,8.6,255,247.092,227.136
24,12,2011,13025,8.5,253,243.015,227.093
25,1,2012,10900,8.2,354,244.178,227.666
26,2,2012,13820,8.3,296,247.615,228.138
27,3,2012,19681,8.2,303,249.095,228.732
28,4,2012,16836,8.2,361,249.075,229.184
29,5,2012,18877,8.2,275,242.208,228.884
30,6,2012,17655,8.2,278,237.514,228.825
31,7,2012,18512,8.2,423,234.757,228.779
32,8,2012,17989,8.1,341,245.455,229.952
33,9,2012,18305,7.8,374,254.333,231.086
34,10,2012,14512,7.8,257,256.389,231.652
35,11,2012,15923,7.8,246,248.136,231.19
36,12,2012,19024,7.9,275,244.698,231.099
37,1,2013,12174,7.9,230,242.56,231.321
38,2,2013,16219,7.7,239,252.639,232.599
39,3,2013,26153,7.5,313,244.598,232.075
40,4,2013,24445,7.5,248,238.86,231.707
41,5,2013,25090,7.5,252,240.972,232.124
42,6,2013,22163,7.5,320,245.412,232.86
43,7,2013,23958,7.3,274,245.926,233.252
44,8,2013,24700,7.2,271,244.917,233.433
45,9,2013,19691,7.2,298,245.566,233.743
46,10,2013,14876,7.2,223,243.374,233.782
47,11,2013,16751,7,231,242.301,234.033
48,12,2013,21692,6.7,279,246.189,234.594
49,1,2014,15326,6.6,232,247.575,234.933
50,2,2014,16393,6.7,240,246.389,235.169
